"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отсутствия обязательных полей в данных регистрации","51","Проверка валидации обязательных полей регистрации","tests","2025-10-20","passed","2025-10-20","TestCreatingCourier","test_creating_courier","",""
"Можно выбрать один из цветов","65","Успешное создание заказа","tests","2025-10-20","passed","2025-10-20","TestOrderCreation","test_create_order","",""
"Цвет можно не выбирать","70","Успешное создание заказа","tests","2025-10-20","passed","2025-10-20","TestOrderCreation","test_create_order","",""
"Проверем невозможность авторизации при вводе некоректных данных.","60","Неверный ввод даных при авторизации курьера.","tests","2025-10-20","passed","2025-10-20","TestLoginCourier","test_login_courier","",""
"Можно указать оба цвета","85","Успешное создание заказа","tests","2025-10-20","passed","2025-10-20","TestOrderCreation","test_create_order","",""
"Проверяем невозможность регистрации курьера, если одно из полей незаполненно.","50","Валидация обязательных полей авторизации курьера","tests","2025-10-20","passed","2025-10-20","TestLoginCourier","test_login_courier","",""
"Проверем невозможность получения списка заказов.","5921","Список заказов.","tests","2025-10-20","passed","2025-10-20","TestOrdersList","test_orders_list","",""
"Проверяем создание нового курьера с уникальным логином, полученным через фикстуру courier_credentials","78","Курьера можно создать","tests","2025-10-20","passed","2025-10-20","TestCreatingCourier","test_creating_courier","",""
"Проверем невозможность авторизации при вводе некоректных данных.","61","Неверный ввод даных при авторизации курьера.","tests","2025-10-20","passed","2025-10-20","TestLoginCourier","test_login_courier","",""
"Проверяем невозможность регистрации курьера, если одно из полей незаполненно.","53","Валидация обязательных полей авторизации курьера","tests","2025-10-20","passed","2025-10-20","TestLoginCourier","test_login_courier","",""
"Проверяем, что авторизация несуществующего пользователя возвращает NOT_FOUND","74","Авторизация несуществующего курьера","tests","2025-10-20","passed","2025-10-20","TestLoginCourier","test_login_courier","",""
"Можно выбрать один из цветов","85","Успешное создание заказа","tests","2025-10-20","passed","2025-10-20","TestOrderCreation","test_create_order","",""
"Проверка отсутствия обязательных полей в данных регистрации","45","Проверка валидации обязательных полей регистрации","tests","2025-10-20","passed","2025-10-20","TestCreatingCourier","test_creating_courier","",""
"Используем фикстуру для создания нового курьера","67","Проверяем невозможность создать двух идентичных курьеров","tests","2025-10-20","passed","2025-10-20","TestCreatingCourier","test_creating_courier","",""
"Проверка успешной авторизации существующего курьера","52","Авторизация под существующим курьером","tests","2025-10-20","passed","2025-10-20","TestLoginCourier","test_login_courier","",""
